game_id,quarter_seconds_remaining,yards_gained,air_yards,score_differential,incomplete_pass,interception,penalty,touchdown,complete_pass,out_of_bounds,pass_length
2025_01_BAL_BUF,293.0,0.0,17.0,-15.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_BAL_BUF,288.0,8.0,5.0,-15.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,245.0,10.0,10.0,-15.0,0.0,0.0,0.0,1.0,1.0,0,short
2025_01_BAL_BUF,186.0,29.0,26.0,-8.0,0.0,0.0,0.0,0.0,1.0,0,deep
2025_01_BAL_BUF,100.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,86.0,6.0,4.0,-2.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,65.0,8.0,8.0,-2.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_BAL_BUF,53.0,32.0,21.0,-2.0,0.0,0.0,0.0,0.0,1.0,1,deep
2025_01_BAL_BUF,46.0,25.0,12.0,-2.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,896.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CAR_JAX,891.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,763.0,0.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,758.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,723.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,632.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,589.0,0.0,-7.0,0.0,1.0,0.0,1.0,0.0,0.0,0,short
2025_01_CAR_JAX,581.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,534.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,320.0,2.0,0.0,-3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,233.0,0.0,3.0,-3.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,228.0,3.0,-6.0,-3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,178.0,11.0,11.0,-3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,47.0,0.0,15.0,-3.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,900.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,856.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,772.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,719.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,561.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,518.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0,short
2025_01_CAR_JAX,506.0,2.0,-1.0,-7.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_CAR_JAX,422.0,12.0,9.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,379.0,0.0,19.0,-7.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CAR_JAX,373.0,-1.0,-1.0,-7.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_CAR_JAX,241.0,0.0,15.0,-7.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,235.0,0.0,1.0,-7.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,83.0,18.0,16.0,-14.0,0.0,0.0,0.0,0.0,1.0,0,deep
2025_01_CAR_JAX,63.0,0.0,21.0,-14.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CAR_JAX,59.0,0.0,1.0,-14.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,48.0,3.0,-5.0,14.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,42.0,7.0,-3.0,14.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,29.0,11.0,11.0,14.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,13.0,23.0,20.0,14.0,0.0,0.0,0.0,0.0,1.0,0,deep
2025_01_CAR_JAX,900.0,9.0,9.0,-17.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,591.0,0.0,5.0,-17.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,548.0,0.0,18.0,17.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CAR_JAX,545.0,0.0,11.0,17.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,440.0,6.0,6.0,-17.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,279.0,0.0,16.0,17.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CAR_JAX,271.0,0.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CAR_JAX,265.0,17.0,16.0,17.0,0.0,0.0,0.0,0.0,1.0,0,deep
2025_01_CAR_JAX,132.0,0.0,31.0,17.0,0.0,1.0,0.0,0.0,0.0,0,deep
2025_01_CAR_JAX,120.0,0.0,-2.0,-17.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,116.0,9.0,6.0,-17.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,66.0,1.0,-6.0,-17.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,23.0,0.0,32.0,-17.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CAR_JAX,900.0,12.0,11.0,17.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,728.0,6.0,6.0,17.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,599.0,0.0,14.0,17.0,1.0,0.0,0.0,0.0,0.0,1,short
2025_01_CAR_JAX,556.0,10.0,9.0,17.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,479.0,0.0,-3.0,17.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,475.0,5.0,-1.0,17.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,429.0,21.0,12.0,-20.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,405.0,9.0,9.0,-20.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_CAR_JAX,358.0,0.0,12.0,-20.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,353.0,0.0,-11.0,-20.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,349.0,15.0,15.0,-20.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,325.0,0.0,12.0,-20.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,320.0,0.0,27.0,-20.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CAR_JAX,312.0,0.0,12.0,-20.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CAR_JAX,294.0,27.0,3.0,-20.0,0.0,0.0,0.0,1.0,1.0,0,short
2025_01_CAR_JAX,117.0,2.0,5.0,-16.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,96.0,3.0,2.0,-16.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,69.0,5.0,5.0,-16.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CAR_JAX,51.0,0.0,3.0,-16.0,0.0,1.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,895.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,712.0,0.0,-4.0,0.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,667.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,612.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
